Product Name,Component Size,Qty in Project,Part Number,Part Name,Part Type,Quantity,Cut Length,% of Stock,Unit,Color,Description
"ThinWall - Fixed Panel","38" × 96"",1,"48351-BL-99","Dovetail","Extrusion",2,"94.63","95.6%","IN","Black (Powder Coated)","Dovetail Stile"
"ThinWall - Fixed Panel","38" × 96"",1,"48450-BL-102","Web Rail-Shallow","Extrusion",1,"36.00","35.3%","IN","Black (Powder Coated)","4” Web Rail-Shallow"
"ThinWall - Fixed Panel","38" × 96"",1,"E-12307H-BL-102","Web Rail","Extrusion",1,"36.00","35.3%","IN","Black (Powder Coated)","4” Web Rail Deep"
"ThinWall - Fixed Panel","38" × 96"",1,"48349-BL-78","U-Channel-Shallow","Extrusion",1,"38.00","48.7%","IN","Black (Powder Coated)","U-Channel-Shallow"
"ThinWall - Fixed Panel","38" × 96"",1,"E-12304-BL-78","Thinwall U-Channel","Extrusion",1,"38.00","48.7%","IN","Black (Powder Coated)","Thinwall U-Channel (2.5 x 1.5”)"
"ThinWall - Fixed Panel","38" × 96"",1,"48448-BL-99","Glass Stop","Extrusion",2,"85.63","86.5%","IN","Black (Powder Coated)","Glass Stop (Gutter)"
"ThinWall - Fixed Panel","38" × 96"",1,"48447-BL-102","Glass Stop","Extrusion",2,"85.63","83.9%","IN","Black (Powder Coated)","Glass Stop (Face)"
"ThinWall - Fixed Panel","38" × 96"",1,"E-12303-BL-123","Flat Stock Trim","Extrusion",2,"38.50","31.3%","IN","Black (Powder Coated)","Flat Stock Trim"
"ThinWall - Fixed Panel","38" × 96"",1,"48601-BL-99","Sliding Door Seal","Extrusion",1,"96.50","97.5%","IN","Black (Powder Coated)","Sliding Door Seal"
"ThinWall - Fixed Panel","38" × 96"",1,"E-12306-BL-123","Starter Channel","Extrusion",1,"96.50","78.5%","IN","Black (Powder Coated)","ThinWall Starter Channel"
"ThinWall - Fixed Panel","38" × 96"",1,"DR-ASD-TUBP020","3/8-24 Threaded Rod 35-1/16L","Hardware",2,"","","EA","Black (Powder Coated)",""
"ThinWall - Fixed Panel","38" × 96"",1,"AD-LUG-1.04-FG","Small Door Lug","Hardware",2,"","","EA","Black (Powder Coated)","1.04" Door Lug"
"ThinWall - Fixed Panel","38" × 96"",1,"AD-LUG-3.20-FG","Small Door Lug","Hardware",2,"","","EA","Black (Powder Coated)","3.20""
"ThinWall - Fixed Panel","38" × 96"",1,"HW-CSD-FAIR3275","Foam Gasket","Hardware",14,"","","EA","Black (Powder Coated)","1/4 PE Foam Gasket"
"ThinWall - Fixed Panel","38" × 96"",1,"DR-ASD-TUBP938","Trim Sweep Pile","Hardware",1,"","","EA","Black (Powder Coated)",""
"ThinWall - Fixed Panel","38" × 96"",1,"DR-ASD-TUBS071","3/8-24 Locking Nut","Hardware",4,"","","EA","Black (Powder Coated)",""
"ThinWall - Fixed Panel","38" × 96"",1,"DR-ASD-TUBP852","3/8 ID x 1-1/4 OD Washer","Hardware",4,"","","EA","Black (Powder Coated)",""
"ThinWall - Fixed Panel","38" × 96"",1,"HW-N&B-FAS3004","Flat Washer","Hardware",2,"","","EA","Black (Powder Coated)","1/4" x 0.734" OD Zinc Flat Washer"
"ThinWall - Fixed Panel","38" × 96"",1,"DR-ASD-NUT1512","Hex Head Screw","Hardware",2,"","","EA","Black (Powder Coated)","#10 x 3/4" Self-Tapping Hex Head Screw"
"ThinWall - Fixed Panel","38" × 96"",1,"STICKER-FLAT-TRIM","Flat Trim Sticker","Hardware",1,"","","EA","Black (Powder Coated)","Sticker For Flat Stock Trim"
"ThinWall - Fixed Panel","38" × 96"",1,"DR-ASD-BUMBS35","Black Bumper","Hardware",9,"","","EA","Black (Powder Coated)",""
"ThinWall - Fixed Panel","38" × 96"",1,"DR-ASD-NUT884","HexSleeve Anchor","Hardware",2,"","","EA","Black (Powder Coated)",""
"ThinWall - Fixed Panel","38" × 96"",1,"HW-BLT-FAS2060","Lag Bolt","Fastener",2,"","","","Black (Powder Coated)","1/4-10 x 1-3/4" Hex Head Lag Bolt"